id,title,text,label,source,date
34,Government launches new healthcare scheme,Weather department predicts heavy rains in multiple regions.,0,NDTV,2025-10-11
35,Scientists discover new vaccine,Researchers developed a vaccine after years of study.,0,The Hindu,2025-07-30
36,Scientists discover new vaccine,Experts report strong economic growth leading to market gains.,0,BBC,2026-03-02
37,Scientists discover new vaccine,Weather department predicts heavy rains in multiple regions.,0,BBC,2025-12-03
38,Stock market reaches record high,Researchers developed a vaccine after years of study.,0,BBC,2026-03-03
39,Government launches new healthcare scheme,Officials confirmed the implementation of new policies to improve public welfare.,0,The Hindu,2025-06-16
40,5G towers spread viruses,Social media users claim unusual sightings without scientific proof.,1,FakeNewsDaily,2026-01-06
41,New education reforms announced,Weather department predicts heavy rains in multiple regions.,0,NDTV,2025-10-11
42,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-10-27
43,Scientists discover new vaccine,Experts report strong economic growth leading to market gains.,0,Indian Express,2025-09-11
44,New education reforms announced,Experts report strong economic growth leading to market gains.,0,BBC,2025-10-09
45,Scientists discover new vaccine,Experts report strong economic growth leading to market gains.,0,NDTV,2025-08-14
46,5G towers spread viruses,No official confirmation about secret inventions exists.,1,FakeNewsDaily,2025-08-24
47,Time travel machine invented secretly,Rumors about cloning experiments are circulating online.,1,Unknown Blog,2025-09-19
48,Drinking hot water cures cancer,Claims spreading online lack medical evidence.,1,Unknown Blog,2026-03-22
49,5G towers spread viruses,Social media users claim unusual sightings without scientific proof.,1,Social Media,2025-09-16
50,Scientists discover new vaccine,Officials confirmed the implementation of new policies to improve public welfare.,0,The Hindu,2026-02-03
51,Government launches new healthcare scheme,The ministry announced changes to improve education quality.,0,Indian Express,2025-07-02
52,New education reforms announced,Experts report strong economic growth leading to market gains.,0,The Hindu,2025-06-06
53,Stock market reaches record high,Researchers developed a vaccine after years of study.,0,Indian Express,2026-02-09
54,Aliens landed in India yesterday,No official confirmation about secret inventions exists.,1,Unknown Blog,2025-09-03
55,Heavy rainfall predicted this week,The ministry announced changes to improve education quality.,0,The Hindu,2025-12-24
56,Time travel machine invented secretly,Unverified reports suggest technology causing health issues.,1,FakeNewsDaily,2025-10-26
57,Aliens landed in India yesterday,Claims spreading online lack medical evidence.,1,FakeNewsDaily,2025-05-11
58,Time travel machine invented secretly,Rumors about cloning experiments are circulating online.,1,Unknown Blog,2026-01-27
59,5G towers spread viruses,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-07-10
60,Time travel machine invented secretly,Rumors about cloning experiments are circulating online.,1,Social Media,2025-09-12
61,Heavy rainfall predicted this week,Officials confirmed the implementation of new policies to improve public welfare.,0,NDTV,2025-12-13
62,Heavy rainfall predicted this week,Experts report strong economic growth leading to market gains.,0,BBC,2026-01-11
63,Government launches new healthcare scheme,Researchers developed a vaccine after years of study.,0,Indian Express,2025-06-06
64,Aliens landed in India yesterday,Social media users claim unusual sightings without scientific proof.,1,FakeNewsDaily,2026-01-10
65,Heavy rainfall predicted this week,Officials confirmed the implementation of new policies to improve public welfare.,0,NDTV,2025-06-15
66,Scientists discover new vaccine,Experts report strong economic growth leading to market gains.,0,Indian Express,2025-12-26
67,5G towers spread viruses,Unverified reports suggest technology causing health issues.,1,Unknown Blog,2025-08-03
68,Scientists discover new vaccine,Researchers developed a vaccine after years of study.,0,BBC,2025-09-21
69,Government launches new healthcare scheme,Researchers developed a vaccine after years of study.,0,The Hindu,2025-06-25
70,5G towers spread viruses,Rumors about cloning experiments are circulating online.,1,Social Media,2025-11-06
71,5G towers spread viruses,Social media users claim unusual sightings without scientific proof.,1,FakeNewsDaily,2025-06-27
72,Scientists discover new vaccine,Weather department predicts heavy rains in multiple regions.,0,Indian Express,2025-09-11
73,Drinking hot water cures cancer,Unverified reports suggest technology causing health issues.,1,Unknown Blog,2025-10-07
74,Heavy rainfall predicted this week,Weather department predicts heavy rains in multiple regions.,0,NDTV,2025-07-15
75,Stock market reaches record high,Experts report strong economic growth leading to market gains.,0,The Hindu,2025-08-20
76,Aliens landed in India yesterday,Unverified reports suggest technology causing health issues.,1,Unknown Blog,2025-11-13
77,Government launches new healthcare scheme,Researchers developed a vaccine after years of study.,0,The Hindu,2025-04-17
78,New education reforms announced,Experts report strong economic growth leading to market gains.,0,The Hindu,2025-05-21
79,Scientists discover new vaccine,Experts report strong economic growth leading to market gains.,0,Indian Express,2026-02-26
80,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,Unknown Blog,2025-07-24
81,Time travel machine invented secretly,No official confirmation about secret inventions exists.,1,FakeNewsDaily,2026-01-15
82,Time travel machine invented secretly,Rumors about cloning experiments are circulating online.,1,Unknown Blog,2026-01-15
83,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,Social Media,2026-01-10
84,Government launches new healthcare scheme,Experts report strong economic growth leading to market gains.,0,Indian Express,2026-01-27
85,5G towers spread viruses,Social media users claim unusual sightings without scientific proof.,1,FakeNewsDaily,2025-11-21
86,Celebrity cloned in secret lab,Social media users claim unusual sightings without scientific proof.,1,FakeNewsDaily,2025-12-13
87,Stock market reaches record high,Officials confirmed the implementation of new policies to improve public welfare.,0,Indian Express,2025-12-11
88,Drinking hot water cures cancer,Social media users claim unusual sightings without scientific proof.,1,Social Media,2026-01-22
89,5G towers spread viruses,Rumors about cloning experiments are circulating online.,1,Social Media,2026-03-17
90,5G towers spread viruses,Unverified reports suggest technology causing health issues.,1,Unknown Blog,2025-11-30
91,New education reforms announced,Weather department predicts heavy rains in multiple regions.,0,The Hindu,2025-05-05
92,New education reforms announced,Weather department predicts heavy rains in multiple regions.,0,NDTV,2026-01-01
93,Time travel machine invented secretly,No official confirmation about secret inventions exists.,1,Social Media,2025-06-21
94,Stock market reaches record high,Experts report strong economic growth leading to market gains.,0,Indian Express,2025-09-17
95,5G towers spread viruses,Rumors about cloning experiments are circulating online.,1,Social Media,2025-06-24
96,Scientists discover new vaccine,Researchers developed a vaccine after years of study.,0,BBC,2025-11-20
97,Drinking hot water cures cancer,Social media users claim unusual sightings without scientific proof.,1,Unknown Blog,2025-05-18
98,Drinking hot water cures cancer,No official confirmation about secret inventions exists.,1,Social Media,2025-09-18
99,5G towers spread viruses,Social media users claim unusual sightings without scientific proof.,1,Unknown Blog,2026-02-26
100,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,Unknown Blog,2025-06-26
101,Stock market reaches record high,Officials confirmed the implementation of new policies to improve public welfare.,0,NDTV,2025-10-01
102,Heavy rainfall predicted this week,The ministry announced changes to improve education quality.,0,The Hindu,2026-01-13
103,Celebrity cloned in secret lab,Unverified reports suggest technology causing health issues.,1,Unknown Blog,2026-02-27
104,Aliens landed in India yesterday,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-12-13
105,Aliens landed in India yesterday,Social media users claim unusual sightings without scientific proof.,1,Social Media,2025-05-31
106,Time travel machine invented secretly,Unverified reports suggest technology causing health issues.,1,FakeNewsDaily,2025-11-25
107,Stock market reaches record high,Weather department predicts heavy rains in multiple regions.,0,BBC,2025-07-19
108,Heavy rainfall predicted this week,Officials confirmed the implementation of new policies to improve public welfare.,0,NDTV,2025-06-12
109,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,Unknown Blog,2025-07-22
110,Time travel machine invented secretly,Unverified reports suggest technology causing health issues.,1,FakeNewsDaily,2025-05-13
111,Celebrity cloned in secret lab,Claims spreading online lack medical evidence.,1,FakeNewsDaily,2025-08-26
112,Scientists discover new vaccine,Officials confirmed the implementation of new policies to improve public welfare.,0,The Hindu,2025-03-26
113,Time travel machine invented secretly,Social media users claim unusual sightings without scientific proof.,1,Social Media,2025-06-26
114,Celebrity cloned in secret lab,Unverified reports suggest technology causing health issues.,1,FakeNewsDaily,2025-05-08
115,Heavy rainfall predicted this week,Officials confirmed the implementation of new policies to improve public welfare.,0,The Hindu,2026-03-09
116,Drinking hot water cures cancer,No official confirmation about secret inventions exists.,1,Social Media,2025-04-22
117,Drinking hot water cures cancer,Claims spreading online lack medical evidence.,1,Social Media,2025-06-20
118,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,Social Media,2025-11-23
119,Aliens landed in India yesterday,Rumors about cloning experiments are circulating online.,1,Social Media,2025-06-11
120,Government launches new healthcare scheme,Experts report strong economic growth leading to market gains.,0,The Hindu,2025-04-02
121,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,Social Media,2025-05-11
122,Stock market reaches record high,Weather department predicts heavy rains in multiple regions.,0,NDTV,2025-04-13
123,Celebrity cloned in secret lab,No official confirmation about secret inventions exists.,1,Unknown Blog,2025-03-31
124,New education reforms announced,Experts report strong economic growth leading to market gains.,0,The Hindu,2025-12-08
125,Stock market reaches record high,Officials confirmed the implementation of new policies to improve public welfare.,0,Indian Express,2026-01-05
126,Scientists discover new vaccine,Weather department predicts heavy rains in multiple regions.,0,The Hindu,2026-02-17
127,Drinking hot water cures cancer,Social media users claim unusual sightings without scientific proof.,1,Unknown Blog,2025-04-22
128,Aliens landed in India yesterday,Rumors about cloning experiments are circulating online.,1,Unknown Blog,2025-10-09
129,Drinking hot water cures cancer,No official confirmation about secret inventions exists.,1,FakeNewsDaily,2026-03-04
130,5G towers spread viruses,No official confirmation about secret inventions exists.,1,Social Media,2025-09-05
131,New education reforms announced,Weather department predicts heavy rains in multiple regions.,0,BBC,2025-11-22
132,Government launches new healthcare scheme,Researchers developed a vaccine after years of study.,0,BBC,2026-01-27
133,5G towers spread viruses,No official confirmation about secret inventions exists.,1,Social Media,2025-08-18
134,Scientists discover new vaccine,The ministry announced changes to improve education quality.,0,Indian Express,2025-05-17
135,Government launches new healthcare scheme,Experts report strong economic growth leading to market gains.,0,The Hindu,2025-03-27
136,Heavy rainfall predicted this week,Experts report strong economic growth leading to market gains.,0,BBC,2025-04-06
137,Celebrity cloned in secret lab,Unverified reports suggest technology causing health issues.,1,Social Media,2025-04-28
138,Scientists discover new vaccine,Researchers developed a vaccine after years of study.,0,NDTV,2026-01-03
139,Stock market reaches record high,Experts report strong economic growth leading to market gains.,0,NDTV,2025-11-13
140,Aliens landed in India yesterday,Unverified reports suggest technology causing health issues.,1,Social Media,2026-02-28
141,5G towers spread viruses,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2026-03-13
142,Drinking hot water cures cancer,Social media users claim unusual sightings without scientific proof.,1,Unknown Blog,2026-03-08
143,Celebrity cloned in secret lab,Unverified reports suggest technology causing health issues.,1,FakeNewsDaily,2025-05-21
144,Stock market reaches record high,Weather department predicts heavy rains in multiple regions.,0,Indian Express,2025-12-25
145,Scientists discover new vaccine,Officials confirmed the implementation of new policies to improve public welfare.,0,Indian Express,2026-02-13
146,Time travel machine invented secretly,Unverified reports suggest technology causing health issues.,1,Unknown Blog,2026-01-17
147,Drinking hot water cures cancer,Unverified reports suggest technology causing health issues.,1,FakeNewsDaily,2025-04-08
148,Time travel machine invented secretly,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-07-11
149,5G towers spread viruses,No official confirmation about secret inventions exists.,1,Social Media,2025-12-10
150,Celebrity cloned in secret lab,Claims spreading online lack medical evidence.,1,Unknown Blog,2025-10-17
151,New education reforms announced,Weather department predicts heavy rains in multiple regions.,0,The Hindu,2025-10-06
152,New education reforms announced,Officials confirmed the implementation of new policies to improve public welfare.,0,BBC,2026-03-11
153,Stock market reaches record high,The ministry announced changes to improve education quality.,0,BBC,2026-01-31
154,Celebrity cloned in secret lab,No official confirmation about secret inventions exists.,1,FakeNewsDaily,2025-08-14
155,Heavy rainfall predicted this week,The ministry announced changes to improve education quality.,0,The Hindu,2025-11-20
156,Time travel machine invented secretly,Unverified reports suggest technology causing health issues.,1,Social Media,2025-12-14
157,Heavy rainfall predicted this week,Researchers developed a vaccine after years of study.,0,Indian Express,2025-07-17
158,5G towers spread viruses,Rumors about cloning experiments are circulating online.,1,Unknown Blog,2026-02-23
159,Scientists discover new vaccine,Weather department predicts heavy rains in multiple regions.,0,BBC,2025-07-14
160,5G towers spread viruses,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-10-20
161,Time travel machine invented secretly,Rumors about cloning experiments are circulating online.,1,Unknown Blog,2025-06-06
162,5G towers spread viruses,Unverified reports suggest technology causing health issues.,1,Social Media,2025-10-02
163,Stock market reaches record high,Officials confirmed the implementation of new policies to improve public welfare.,0,BBC,2025-08-08
164,Stock market reaches record high,Weather department predicts heavy rains in multiple regions.,0,Indian Express,2026-02-02
165,Stock market reaches record high,Researchers developed a vaccine after years of study.,0,NDTV,2025-08-25
166,New education reforms announced,Weather department predicts heavy rains in multiple regions.,0,Indian Express,2025-06-03
167,Government launches new healthcare scheme,Weather department predicts heavy rains in multiple regions.,0,BBC,2026-01-03
168,Government launches new healthcare scheme,Researchers developed a vaccine after years of study.,0,The Hindu,2025-10-01
169,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,Social Media,2025-12-29
170,Scientists discover new vaccine,Officials confirmed the implementation of new policies to improve public welfare.,0,BBC,2026-03-21
171,Time travel machine invented secretly,Claims spreading online lack medical evidence.,1,Social Media,2025-09-25
172,Time travel machine invented secretly,Claims spreading online lack medical evidence.,1,FakeNewsDaily,2025-09-03
173,Government launches new healthcare scheme,The ministry announced changes to improve education quality.,0,Indian Express,2025-04-08
174,Drinking hot water cures cancer,Social media users claim unusual sightings without scientific proof.,1,Unknown Blog,2026-02-01
175,Time travel machine invented secretly,No official confirmation about secret inventions exists.,1,Unknown Blog,2025-05-05
176,5G towers spread viruses,Social media users claim unusual sightings without scientific proof.,1,Unknown Blog,2025-09-06
177,5G towers spread viruses,Rumors about cloning experiments are circulating online.,1,Social Media,2025-05-16
178,Aliens landed in India yesterday,Social media users claim unusual sightings without scientific proof.,1,Unknown Blog,2025-05-16
179,Drinking hot water cures cancer,No official confirmation about secret inventions exists.,1,FakeNewsDaily,2025-05-02
180,Stock market reaches record high,Experts report strong economic growth leading to market gains.,0,Indian Express,2025-05-05
181,5G towers spread viruses,No official confirmation about secret inventions exists.,1,FakeNewsDaily,2025-06-02
182,Government launches new healthcare scheme,Experts report strong economic growth leading to market gains.,0,Indian Express,2026-02-04
183,Scientists discover new vaccine,The ministry announced changes to improve education quality.,0,NDTV,2026-02-24
184,Aliens landed in India yesterday,Unverified reports suggest technology causing health issues.,1,Social Media,2026-03-18
185,Drinking hot water cures cancer,Unverified reports suggest technology causing health issues.,1,FakeNewsDaily,2025-12-28
186,Stock market reaches record high,Experts report strong economic growth leading to market gains.,0,NDTV,2025-11-03
187,Heavy rainfall predicted this week,Weather department predicts heavy rains in multiple regions.,0,Indian Express,2025-06-04
188,New education reforms announced,Officials confirmed the implementation of new policies to improve public welfare.,0,The Hindu,2025-11-28
189,Heavy rainfall predicted this week,Researchers developed a vaccine after years of study.,0,Indian Express,2025-06-16
190,New education reforms announced,Experts report strong economic growth leading to market gains.,0,Indian Express,2025-11-01
191,Heavy rainfall predicted this week,Researchers developed a vaccine after years of study.,0,NDTV,2025-05-09
192,Scientists discover new vaccine,Researchers developed a vaccine after years of study.,0,Indian Express,2025-12-19
193,Celebrity cloned in secret lab,Unverified reports suggest technology causing health issues.,1,Unknown Blog,2025-07-19
194,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,Social Media,2025-04-26
195,Time travel machine invented secretly,No official confirmation about secret inventions exists.,1,Social Media,2025-05-28
196,Scientists discover new vaccine,Researchers developed a vaccine after years of study.,0,The Hindu,2026-01-30
197,Celebrity cloned in secret lab,Social media users claim unusual sightings without scientific proof.,1,FakeNewsDaily,2025-05-04
198,Government launches new healthcare scheme,Weather department predicts heavy rains in multiple regions.,0,The Hindu,2025-08-13
199,Heavy rainfall predicted this week,Researchers developed a vaccine after years of study.,0,NDTV,2025-11-13
